category,question,answer,question_length,answer_length
Order Tracking,"Hi, my tracking number isn't working, what should I do?","Tracking numbers can take up to 24 hours to activate after dispatch. If it still doesn't work after a day, please contact support with your order ID.",10,27
Order Tracking,"Hello, quick question - can I track multiple orders at once?","Yes, the 'My Orders' section lists all active orders with individual tracking links for each.",11,15
Order Tracking,How do I know when my order has shipped?,You will receive an email and SMS notification with the tracking ID as soon as your order is shipped from the warehouse.,9,22
Returns & Refunds,"Hello, quick question - what is your return policy?","Most items can be returned within 7-30 days of delivery, provided they are unused and in original packaging. Certain categories like innerwear and perishables are non-returnable.",9,26
Product Information,How do I check if this item is in stock in my area?,Enter your delivery pin code on the product page to instantly check availability and estimated delivery date for your location.,13,20
Returns & Refunds,"Hi, do I have to pay for return shipping?","Return pickups are free for defective or wrong items. For change-of-mind returns, a small logistics fee may apply depending on the seller's policy.",9,23
Payments & Billing,"Hello, quick question - can I pay in installments (EMI)?","Yes, EMI options are available on select credit and debit cards for orders above a minimum value, shown at checkout.",10,20
Returns & Refunds,Can I exchange an item instead of returning it?,"Yes, exchanges for size or color are available for eligible products within the return window, subject to stock availability.",9,19
Order Tracking,"Hi, how can I track my order?","You can track your order by logging into your account and going to 'My Orders', or by using the tracking link sent to your registered email after dispatch.",7,28
Shipping & Delivery,"Hello, quick question - what happens if I'm not home during delivery?",The courier will attempt delivery up to 3 times. You can also reschedule or opt for delivery to a nearby pickup point.,12,22
Payments & Billing,How do I apply a discount coupon?,Enter the coupon code in the 'Apply Coupon' box at checkout before making payment. Only one coupon can typically be applied per order.,7,23
Returns & Refunds,"Hi, the product I received is damaged, what should I do?",We're sorry for the inconvenience. Please raise a return request within 48 hours of delivery with photos of the damaged item for a free replacement or full refund.,11,28
Returns & Refunds,"The product I received is damaged, what should I do?",We're sorry for the inconvenience. Please raise a return request within 48 hours of delivery with photos of the damaged item for a free replacement or full refund.,10,28
Account & Login,How do I update my email address?,"Go to 'Account Settings' > 'Profile', and update your email. A verification link will be sent to confirm the change.",7,20
Product Information,"Hello, quick question - is this product available in other colors?","If alternate colors exist, they will be shown as swatches directly on the product page.",11,15
Product Information,"Hello, quick question - where can I find the product specifications?","Full specifications are listed under the 'Specifications' tab on the product detail page, including dimensions, materials, and technical details.",11,19
Shipping & Delivery,"Hello, quick question - do you deliver on weekends and holidays?","Yes, most couriers deliver on weekends. Delivery on public holidays depends on local courier operations.",11,15
Order Tracking,How can I track my order?,"You can track your order by logging into your account and going to 'My Orders', or by using the tracking link sent to your registered email after dispatch.",6,28
Product Information,"Hi, is this product available in other colors?","If alternate colors exist, they will be shown as swatches directly on the product page.",8,15
Shipping & Delivery,"Hi, can I choose a specific delivery time slot?","Time-slot delivery is available in select cities for an additional fee, selectable during checkout.",9,14
Returns & Refunds,"Hello, quick question - do I have to pay for return shipping?","Return pickups are free for defective or wrong items. For change-of-mind returns, a small logistics fee may apply depending on the seller's policy.",12,23
Order Tracking,"Hello, quick question - my tracking number isn't working, what should I do?","Tracking numbers can take up to 24 hours to activate after dispatch. If it still doesn't work after a day, please contact support with your order ID.",13,27
Shipping & Delivery,What are the delivery charges?,"Delivery is free above a minimum order value; below that, a nominal shipping fee is added at checkout, clearly shown before payment.",5,22
Payments & Billing,"Hi, my payment failed but the amount was deducted.","Failed transactions are usually auto-reversed within 5-7 business days. If not reversed, please share the transaction ID with support for manual verification.",9,22
Order Tracking,"Hi, why is my order still showing 'processing'?",Orders usually move from 'processing' to 'shipped' within 24-48 hours. Delays can happen during high-demand sales periods or if an item needs to be sourced from another warehouse.,8,28
Returns & Refunds,Do I have to pay for return shipping?,"Return pickups are free for defective or wrong items. For change-of-mind returns, a small logistics fee may apply depending on the seller's policy.",8,23
Payments & Billing,My payment failed but the amount was deducted.,"Failed transactions are usually auto-reversed within 5-7 business days. If not reversed, please share the transaction ID with support for manual verification.",8,22
Account & Login,"Hi, can I have multiple delivery addresses saved?","Yes, you can save multiple addresses under 'Manage Addresses' and choose one at checkout.",8,14
Payments & Billing,"Hi, how do I apply a discount coupon?",Enter the coupon code in the 'Apply Coupon' box at checkout before making payment. Only one coupon can typically be applied per order.,8,23
Shipping & Delivery,"Hello, quick question - how long does delivery take?",Standard delivery takes 3-7 business days depending on your location; express delivery in metro cities can be 1-2 days.,9,19
Product Information,Is this product available in other colors?,"If alternate colors exist, they will be shown as swatches directly on the product page.",7,15
Payments & Billing,"Hi, why was my coupon code rejected?","Coupons may be category-specific, have a minimum order value, or already be expired. Check the terms shown on the offer page.",7,21
Product Information,Does this product come with a warranty?,Warranty terms vary by brand and are listed on the product page under 'Warranty & Service'. Most electronics carry a 1-year manufacturer warranty.,7,23
Shipping & Delivery,"Hi, how long does delivery take?",Standard delivery takes 3-7 business days depending on your location; express delivery in metro cities can be 1-2 days.,6,19
Returns & Refunds,"Hi, how do I initiate a return?","Go to 'My Orders', select the item, and click 'Return or Replace'. Choose a reason and schedule a pickup or drop-off.",7,21
Account & Login,"Hi, i forgot my password, how do I reset it?",Click 'Forgot Password' on the login page and follow the OTP verification steps sent to your registered email or mobile number.,10,21
Shipping & Delivery,Can I change my delivery address after ordering?,Address changes are possible only before the order is shipped. Contact support immediately or edit it from the order page if the option is available.,8,25
Order Tracking,"Hello, quick question - my order shows delivered but I haven't received it.","Please check with neighbors or your building's reception first. If not found within 24 hours, raise a 'missing package' ticket and our team will investigate with the courier partner.",13,29
Account & Login,"Hi, is my personal data secure?","Yes, we use industry-standard encryption and never share your personal data with third parties without consent.",6,16
Returns & Refunds,When will I get my refund?,Refunds are processed within 5-7 business days after the returned item passes quality inspection at our warehouse.,6,17
Shipping & Delivery,What happens if I'm not home during delivery?,The courier will attempt delivery up to 3 times. You can also reschedule or opt for delivery to a nearby pickup point.,8,22
Product Information,Where can I find the product specifications?,"Full specifications are listed under the 'Specifications' tab on the product detail page, including dimensions, materials, and technical details.",7,19
Payments & Billing,"Hello, quick question - what payment methods do you accept?","We accept credit/debit cards, net banking, UPI, popular wallets, and cash on delivery for eligible pin codes.",10,17
Shipping & Delivery,How long does delivery take?,Standard delivery takes 3-7 business days depending on your location; express delivery in metro cities can be 1-2 days.,5,19
Shipping & Delivery,"Hi, do you deliver internationally?","Currently, international shipping is available for select categories and countries, shown at checkout when you enter an international address.",5,19
Product Information,"Hello, quick question - does this product come with a warranty?",Warranty terms vary by brand and are listed on the product page under 'Warranty & Service'. Most electronics carry a 1-year manufacturer warranty.,11,23
Order Tracking,What does 'out for delivery' mean?,"It means the package has left the local courier hub and is on the delivery vehicle, typically arriving within the same day.",6,22
Product Information,"Hi, where can I find the product specifications?","Full specifications are listed under the 'Specifications' tab on the product detail page, including dimensions, materials, and technical details.",8,19
Payments & Billing,"Hi, what payment methods do you accept?","We accept credit/debit cards, net banking, UPI, popular wallets, and cash on delivery for eligible pin codes.",7,17
Account & Login,Is my personal data secure?,"Yes, we use industry-standard encryption and never share your personal data with third parties without consent.",5,16
Order Tracking,"Hello, quick question - how do I know when my order has shipped?",You will receive an email and SMS notification with the tracking ID as soon as your order is shipped from the warehouse.,13,22
Account & Login,"I forgot my password, how do I reset it?",Click 'Forgot Password' on the login page and follow the OTP verification steps sent to your registered email or mobile number.,9,21
Payments & Billing,Can I pay in installments (EMI)?,"Yes, EMI options are available on select credit and debit cards for orders above a minimum value, shown at checkout.",6,20
Returns & Refunds,"Hi, how long does a refund take to reflect in my bank account?","Once processed, refunds typically reflect within 3-5 business days for cards and 1-2 business days for UPI/wallets, depending on your bank.",13,21
Shipping & Delivery,Do you deliver on weekends and holidays?,"Yes, most couriers deliver on weekends. Delivery on public holidays depends on local courier operations.",7,15
Account & Login,"Hello, quick question - how do I update my email address?","Go to 'Account Settings' > 'Profile', and update your email. A verification link will be sent to confirm the change.",11,20
Returns & Refunds,What is your return policy?,"Most items can be returned within 7-30 days of delivery, provided they are unused and in original packaging. Certain categories like innerwear and perishables are non-returnable.",5,26
Order Tracking,"Hello, quick question - why is my order still showing 'processing'?",Orders usually move from 'processing' to 'shipped' within 24-48 hours. Delays can happen during high-demand sales periods or if an item needs to be sourced from another warehouse.,11,28
Payments & Billing,"Hi, can I pay in installments (EMI)?","Yes, EMI options are available on select credit and debit cards for orders above a minimum value, shown at checkout.",7,20
Returns & Refunds,"Hello, quick question - how long does a refund take to reflect in my bank account?","Once processed, refunds typically reflect within 3-5 business days for cards and 1-2 business days for UPI/wallets, depending on your bank.",16,21
Product Information,"Hello, quick question - how do I know if this product is genuine?",All products sold on our platform are sourced directly from brands or authorized distributors and come with a 100% authenticity guarantee.,13,21
Product Information,Are the product images accurate?,"We strive for accuracy, but slight color variations may occur due to screen settings and studio lighting.",5,17
Payments & Billing,Why was my coupon code rejected?,"Coupons may be category-specific, have a minimum order value, or already be expired. Check the terms shown on the offer page.",6,21
Product Information,"Hello, quick question - are the product images accurate?","We strive for accuracy, but slight color variations may occur due to screen settings and studio lighting.",9,17
Shipping & Delivery,"Hi, can I change my delivery address after ordering?",Address changes are possible only before the order is shipped. Contact support immediately or edit it from the order page if the option is available.,9,25
Returns & Refunds,How do I initiate a return?,"Go to 'My Orders', select the item, and click 'Return or Replace'. Choose a reason and schedule a pickup or drop-off.",6,21
Returns & Refunds,How long does a refund take to reflect in my bank account?,"Once processed, refunds typically reflect within 3-5 business days for cards and 1-2 business days for UPI/wallets, depending on your bank.",12,21
Product Information,"Hi, does this product come with a warranty?",Warranty terms vary by brand and are listed on the product page under 'Warranty & Service'. Most electronics carry a 1-year manufacturer warranty.,8,23
Order Tracking,Can I track multiple orders at once?,"Yes, the 'My Orders' section lists all active orders with individual tracking links for each.",7,15
Payments & Billing,Is cash on delivery available?,"COD is available for most pin codes, though high-value electronics may have a reduced COD limit or require partial online prepayment.",5,21
